Date,Closing Price,Opening Price,Highest Price,Lowest Price
16/01/2023,28.15,27.95,28.7,27.35
13/01/2023,27.75,27.3,28.25,27.3
11/01/2023,27.35,26.8,27.7,26.35
10/01/2023,26.3,25.85,26.5,25.15
09/01/2023,25.85,25.95,26.25,25.6
06/01/2023,25.6,26.2,26.6,25.5
05/01/2023,26.1,25.25,26.2,25.05
04/01/2023,25.2,25.3,25.6,24.9
03/01/2023,24.85,23.25,24.85,23.25
29/12/2022,23.35,23.9,24.2,23.35
28/12/2022,24.25,24,24.7,23.7
27/12/2022,23.85,22.5,23.85,22.1
26/12/2022,23,24.95,24.95,23
23/12/2022,24.7,25.8,25.8,24.7
22/12/2022,25.8,25.75,26.1,24.5
21/12/2022,25.5,26.8,26.8,24.1
20/12/2022,25.9,27,27.3,25.3
19/12/2022,27,28,29.3,27
16/12/2022,27.9,26.9,27.95,26.7
15/12/2022,27.1,26.35,27.3,26.15
14/12/2022,26.35,27,27.3,26.2
13/12/2022,26.45,25,26.45,24.25
12/12/2022,24.75,26.6,27.55,24.75
09/12/2022,26.6,27.3,27.5,26.2
08/12/2022,27.2,26.2,27.2,26.05
07/12/2022,25.45,25,25.9,23.85
05/12/2022,26.9,26.2,26.9,25.75
01/12/2022,23.55,25,25.8,23.35
30/11/2022,24.55,23,24.8,22.6
29/11/2022,23.2,22.9,23.85,22.15
28/11/2022,22.3,21.85,22.3,21.7
25/11/2022,20.85,20,20.85,19.45
24/11/2022,19.5,19.1,19.7,18.1
23/11/2022,19.2,19.8,20.95,19.2
22/11/2022,20.2,18.55,20.2,18.55
21/11/2022,18.9,19.6,19.75,18.6
18/11/2022,19.4,19.25,20.25,18.15
17/11/2022,19.5,19.2,19.9,18.85
16/11/2022,18.9,16.5,18.9,16.5
15/11/2022,17.7,17.7,17.95,17.7
14/11/2022,19,19.1,19.65,19
11/11/2022,20.4,22.5,22.6,20.4
10/11/2022,21.9,23,23.25,21.9
09/11/2022,23.5,24.5,25,23.3
08/11/2022,24.2,22.3,24.25,22.2
07/11/2022,23.3,25.1,25.4,23.3
03/11/2022,26.9,25.7,27.2,25.6
02/11/2022,26.1,26.5,26.9,26
01/11/2022,26.45,26.7,27.2,26.4
31/10/2022,26.2,24.9,26.35,24.3
27/10/2022,24.5,23.5,24.5,22.95
26/10/2022,22.9,24.35,24.4,22.9
25/10/2022,23.7,23.9,25,22
24/10/2022,23.4,25,25.4,23.4
21/10/2022,25.15,27.05,27.15,25.15
20/10/2022,27,27.55,27.85,26.9
19/10/2022,27.7,27.95,28.25,27.65
18/10/2022,27.85,29,29,27.7
17/10/2022,28.45,27.15,28.45,26.6
14/10/2022,27.6,27.6,28.2,27.3
13/10/2022,26.8,26.1,26.8,25.95
12/10/2022,26.3,25.1,26.3,24.75
11/10/2022,24.6,26,26.45,24.2
10/10/2022,26,24.3,26,24.3
06/10/2022,25.45,27.1,27.5,25.45
05/10/2022,27.35,26.4,27.35,26
04/10/2022,25.6,27.8,28,25.6
03/10/2022,27.35,29,29.05,27.35
30/09/2022,29.4,28.5,29.65,27
29/09/2022,28.8,31.5,31.55,28.8
28/09/2022,30.8,30.6,31.55,30.6
27/09/2022,30.8,31,31.75,30.5
26/09/2022,30.7,31.5,31.95,30.35
23/09/2022,32.6,33.65,33.85,32.6
22/09/2022,33.7,32.1,33.8,32.1
21/09/2022,32.5,32.8,33.25,32.3
20/09/2022,33.2,32.7,33.45,31.4
19/09/2022,32.5,34.85,34.85,32.5
16/09/2022,34.9,35.95,36,34.6
15/09/2022,36.05,36.8,37,36.05
14/09/2022,36.8,35,37.2,34.8
13/09/2022,35.7,35.95,36.3,35.05
12/09/2022,35.8,37,37.5,35.8
08/09/2022,36.6,38.2,38.3,36.6
07/09/2022,37.8,37.6,39.2,37.55
06/09/2022,37.65,37.8,38.4,37.35
05/09/2022,37.4,37.1,38.05,36.7
31/08/2022,37.1,37,37.6,36.55
30/08/2022,37.1,38.35,38.45,37.1
29/08/2022,38,36.5,38,35.5
26/08/2022,37.4,38.5,38.5,37.2
25/08/2022,38.45,38.45,38.85,38.25
24/08/2022,38.25,38.3,38.75,37.85
23/08/2022,38.3,35.2,38.3,35.2
22/08/2022,35.9,36.55,36.85,35.6
19/08/2022,36.8,37.15,37.15,36.25
18/08/2022,37,36.4,37.6,36
17/08/2022,36.5,38.2,38.2,36.35
16/08/2022,46.8,46,46.95,46
15/08/2022,46.4,48.5,48.5,46.3
12/08/2022,47.9,45,47.9,44.8
11/08/2022,45.1,48.2,48.75,44.6
09/08/2022,47.2,46,47.45,45.55
08/08/2022,46,45.4,46,45.25
05/08/2022,45.45,43.4,45.45,43.2
04/08/2022,43.6,44,44.3,43.05
03/08/2022,44,42.3,44,42.2
02/08/2022,42.7,42.7,43.6,42.2
01/08/2022,43,40.7,43,40.7
29/07/2022,40.5,39.1,40.8,39.1
28/07/2022,38.9,39,40,38.85
27/07/2022,38.4,37.5,38.7,37.35
26/07/2022,37.7,38.6,38.85,37.7
25/07/2022,38.6,37.5,39.45,37.1
22/07/2022,38,38.85,39.2,38
21/07/2022,38.85,39,39.85,38.7
20/07/2022,39.6,38.7,40.4,38.5
19/07/2022,38,38.3,38.8,37
18/07/2022,38.45,38.5,39.25,37.9
15/07/2022,38,39.5,39.5,38
14/07/2022,38.85,36.2,38.85,36.2
12/07/2022,36.95,35.9,37.15,35.25
11/07/2022,35.7,36.6,37.3,34.65
08/07/2022,37.1,36,37.8,35.9
07/07/2022,35.7,35.1,35.7,34.65
06/07/2022,35.05,35.5,37.1,35.05
05/07/2022,36.3,36.3,37.45,35.95
04/07/2022,36.6,36.5,37.8,36.3
01/07/2022,35.35,33.2,35.35,32.5
30/06/2022,33.05,35.6,35.9,33.05
29/06/2022,35.5,34.65,36.5,34.5
28/06/2022,35,35.8,36,35
27/06/2022,36,34.15,36,34.05
24/06/2022,33.7,33.2,34.45,33
23/06/2022,33.8,32.5,33.8,31.7
22/06/2022,32.8,31.6,32.8,31.5
21/06/2022,30.7,28.3,30.8,28.25
20/06/2022,28.8,31.5,31.9,28.8
17/06/2022,30.95,30.5,31.2,30
16/06/2022,32,33.9,33.9,30.5
14/06/2022,34.2,35.3,36.3,34.05
13/06/2022,36.3,37,37.9,36.3
10/06/2022,39,40.8,41.65,39
09/06/2022,41.5,42,42.8,41.35
08/06/2022,41.85,39.5,41.85,39.25
07/06/2022,39.15,38.8,39.3,37.3
06/06/2022,39.4,38.9,40.7,38.75
03/06/2022,39.15,39.2,40,38.4
02/06/2022,39.2,39.3,40.8,39.15
01/06/2022,39.25,38.6,39.7,37.65
31/05/2022,39,38.9,39.65,38.35
30/05/2022,39.25,39.6,40.2,38.9
27/05/2022,39.5,38.7,39.9,38.35
26/05/2022,39.2,38.6,40,38.3
25/05/2022,39,36.75,39,36.5
24/05/2022,36.75,34.8,36.75,33.1
23/05/2022,35.3,37.1,37.1,34.55
20/05/2022,37.1,37.8,38.3,36.35
19/05/2022,37.3,34.5,37.5,34.2
17/05/2022,33.2,31.3,33.2,31.1
16/05/2022,31.05,32.05,32.15,31.05
13/05/2022,30.05,32.3,32.4,30.05
12/05/2022,32.3,34.1,34.5,32.3
11/05/2022,34.7,35.35,35.45,34
10/05/2022,35.2,32.4,35.5,32.4
09/05/2022,34.6,35.2,35.75,34.6
06/05/2022,37.2,38.8,39.2,37.2
05/05/2022,39.95,41.8,41.8,39.45
04/05/2022,41,42.05,42.65,41
29/04/2022,42.05,39.9,42.2,39.4
28/04/2022,40,41.1,41.95,40
27/04/2022,41.2,41.9,42.35,40.8
26/04/2022,42,40.8,42.4,38.6
25/04/2022,41.5,44.05,45,41.5
22/04/2022,44.6,45.6,46.3,43.1
21/04/2022,45,42.6,46.2,42.6
20/04/2022,43.5,45.5,45.85,43.5
19/04/2022,45,47.2,48.1,44.6
15/04/2022,50,53,53.5,50
14/04/2022,53.2,54.6,55.5,53.2
13/04/2022,54,53.6,55,52.5
12/04/2022,53.4,56,56.3,53.4
08/04/2022,56,57.2,58,56
07/04/2022,57.2,58.3,59.4,57.1
06/04/2022,58.2,58,59.2,57.6
05/04/2022,58.5,59.5,60.2,58.5
04/04/2022,59.2,58.2,60.8,58.2
01/04/2022,57.5,56,57.5,55.5
31/03/2022,56.1,57.4,57.5,56.1
30/03/2022,57.2,57,58.5,57
29/03/2022,57.5,57.1,58,57
28/03/2022,56.5,57,57.6,54.7
25/03/2022,57.6,58.5,58.6,57.4
24/03/2022,58.5,59.1,59.4,58
23/03/2022,59.1,60.7,60.7,59
22/03/2022,59.8,59.9,60.2,59
21/03/2022,59.5,59.2,59.5,58.4
17/03/2022,58.9,59.5,60.3,58.9
16/03/2022,58.7,58.5,59.6,58.3
15/03/2022,58.2,57.8,59.1,57.8
14/03/2022,58.5,61.5,61.5,57.9
11/03/2022,62,63.1,63.1,61.6
10/03/2022,63.1,65,65.7,63.1
09/03/2022,63.4,63.2,63.9,62.4
08/03/2022,62.6,62,64.8,61.5
07/03/2022,62.6,62.4,63.5,62.1
04/03/2022,63.5,63.4,64.8,63.2
03/03/2022,62.9,63,63.2,62.1
02/03/2022,62.8,62.7,64,61.8
01/03/2022,63.5,62.8,64.5,62
28/02/2022,62.4,62.3,63.3,62
25/02/2022,62.3,61.8,63.6,61.1
24/02/2022,60.5,60.9,62.5,58
23/02/2022,61.3,61.3,62.3,61
22/02/2022,61,61.1,62,59.7
21/02/2022,62.5,60.9,62.7,60.8
17/02/2022,59.1,59.8,59.8,58.6
16/02/2022,59.3,58.5,60,58.3
15/02/2022,58,57.7,58.3,56.5
14/02/2022,56.9,59.7,60.4,56.9
11/02/2022,61.1,60.2,61.8,59.5
10/02/2022,60.3,60,61.9,59.8
09/02/2022,60.5,60,61.5,59.4
08/02/2022,59.5,58.2,60.4,57.8
07/02/2022,58.6,56.9,59.9,56.8
28/01/2022,56,55.1,56.3,54.8
27/01/2022,55.1,54.4,56.4,54
26/01/2022,54.4,54.6,55.4,53.8
25/01/2022,54.5,52.8,54.8,52.8
24/01/2022,53.9,56.6,57,53.9
21/01/2022,57.9,60,60,57.5
20/01/2022,59,59,59.2,57.3
19/01/2022,56.4,55.7,56.7,55.2
18/01/2022,53.8,56.6,57.7,53.8
17/01/2022,57.8,62.2,62.2,57.8
13/01/2022,63,67,67,63
12/01/2022,66,64.5,66.5,62.4
11/01/2022,64.4,68.6,70,64
10/01/2022,68,72,72.3,68
07/01/2022,72.1,72.1,73.1,71.5
06/01/2022,72.5,73.3,74.2,72.5
05/01/2022,73.6,75.1,75.7,73.6
04/01/2022,74.4,73.2,74.8,72.6
31/12/2021,72.8,74.3,74.4,72.5
30/12/2021,73.9,72.1,74.5,72.1
29/12/2021,71.8,71,72.7,70.5
28/12/2021,71,71.4,72.4,71
27/12/2021,71.6,72.9,72.9,71.1
24/12/2021,71.7,72,72,70.3
23/12/2021,70.5,73.2,73.5,69.2
22/12/2021,73.6,75.8,75.8,73.2
21/12/2021,75.3,76,77.2,75.3
20/12/2021,76.7,74.7,78,74.5
17/12/2021,75,73.7,75.4,72.8
15/12/2021,75.3,76.5,76.8,75
14/12/2021,76.5,77.6,78,76.3
13/12/2021,77.3,76.8,77.8,75.5
10/12/2021,76.2,76.3,77,75.3
09/12/2021,76,73,76,73
08/12/2021,73.7,73,74.5,72.5
07/12/2021,72.8,72.9,73.7,71.5
06/12/2021,72,73.5,74.8,68.3
03/12/2021,73.3,79,79.2,73.3
02/12/2021,78.2,78.3,79.9,77.4
01/12/2021,78.2,79.4,79.8,77.5
30/11/2021,79.8,79.6,82,78
29/11/2021,78.7,76.5,79.4,76.5
